geoName,geoCode,keyword,interest,geo_scope,fetched_at
Idaho,US-ID,Amazon,100,US,2026-05-17T16:58:27.868617
Illinois,US-IL,Amazon,80,US,2026-05-17T16:58:27.868617
Indiana,US-IN,Amazon,87,US,2026-05-17T16:58:27.868617
Iowa,US-IA,Amazon,85,US,2026-05-17T16:58:27.868617
Kansas,US-KS,Amazon,82,US,2026-05-17T16:58:27.868617
Kentucky,US-KY,Amazon,81,US,2026-05-17T16:58:27.868617
Louisiana,US-LA,Amazon,85,US,2026-05-17T16:58:27.868617
Maine,US-ME,Amazon,82,US,2026-05-17T16:58:27.868617
Maryland,US-MD,Amazon,88,US,2026-05-17T16:58:27.868617
Massachusetts,US-MA,Amazon,80,US,2026-05-17T16:58:27.868617
Michigan,US-MI,Amazon,97,US,2026-05-17T16:58:27.868617
Minnesota,US-MN,Amazon,81,US,2026-05-17T16:58:27.868617
Mississippi,US-MS,Amazon,87,US,2026-05-17T16:58:27.868617
Missouri,US-MO,Amazon,86,US,2026-05-17T16:58:27.868617
Montana,US-MT,Amazon,81,US,2026-05-17T16:58:27.868617
Nebraska,US-NE,Amazon,80,US,2026-05-17T16:58:27.868617
Nevada,US-NV,Amazon,77,US,2026-05-17T16:58:27.868617
New Hampshire,US-NH,Amazon,90,US,2026-05-17T16:58:27.868617
New Jersey,US-NJ,Amazon,91,US,2026-05-17T16:58:27.868617
New Mexico,US-NM,Amazon,84,US,2026-05-17T16:58:27.868617
New York,US-NY,Amazon,77,US,2026-05-17T16:58:27.868617
North Carolina,US-NC,Amazon,85,US,2026-05-17T16:58:27.868617
North Dakota,US-ND,Amazon,77,US,2026-05-17T16:58:27.868617
Ohio,US-OH,Amazon,86,US,2026-05-17T16:58:27.868617
Oklahoma,US-OK,Amazon,76,US,2026-05-17T16:58:27.868617
Oregon,US-OR,Amazon,80,US,2026-05-17T16:58:27.868617
Pennsylvania,US-PA,Amazon,89,US,2026-05-17T16:58:27.868617
Rhode Island,US-RI,Amazon,86,US,2026-05-17T16:58:27.868617
South Carolina,US-SC,Amazon,89,US,2026-05-17T16:58:27.868617
South Dakota,US-SD,Amazon,85,US,2026-05-17T16:58:27.868617
Tennessee,US-TN,Amazon,85,US,2026-05-17T16:58:27.868617
Texas,US-TX,Amazon,74,US,2026-05-17T16:58:27.868617
Utah,US-UT,Amazon,75,US,2026-05-17T16:58:27.868617
Vermont,US-VT,Amazon,93,US,2026-05-17T16:58:27.868617
Virginia,US-VA,Amazon,84,US,2026-05-17T16:58:27.868617
Washington,US-WA,Amazon,96,US,2026-05-17T16:58:27.868617
West Virginia,US-WV,Amazon,90,US,2026-05-17T16:58:27.868617
Wisconsin,US-WI,Amazon,93,US,2026-05-17T16:58:27.868617
Wyoming,US-WY,Amazon,96,US,2026-05-17T16:58:27.868617
